기업명,RIM기업가치,매출액증가율,순이익증가율,유동비율,순운전자본비율,부채비율,자기자본비율,매출총이익률,ROA,ROI,총자산회전율,시가총액
솔브레인,20634.185414091477,1.1780472239948947,1.345146379044684,2.533795493934142,0.3199180624171587,0.2726157620361852,0.7858778166044101,0.2494384217208712,0.2274972888299795,0.1833955898301,1.2337631039884325,17622.39050443038
원익IPS,19624.00494437577,0.1296177468145568,0.483640081799591,1.877573734001113,0.2701267557382665,0.4575530586766542,0.6860226104830421,0.3826990180962428,0.1405447070914696,0.1242720109626584,1.0554128126070572,15513.61929201266
어보브반도체,1777.1915945611868,0.1615811373092926,-0.0214285714285714,2.868292682926829,0.285820895522388,0.1985688729874776,0.8343283582089552,0.2561194029850746,0.1313432835820895,0.1022388059701492,1.25,1846.6324818202534
네패스,-4506.323856613102,0.2176949941792782,-0.5342902711323764,1.1342685370741483,0.0363833831115938,3.140929535232384,0.2414698162729658,0.2203632887189292,-0.01484297221468,-0.0264277310163815,0.3786768033306181,4428.271638762025
앨앤에프,-21372.34610630408,1.72620050547599,6.486666666666666,1.7884271844660191,0.6625114214854457,1.4121536523929472,0.4145672888656833,0.3619695096827359,0.0289126745855632,-0.0732933037462472,0.6335987468998825,94393.1481964557
SK아이이테크놀로지,15258.632880098889,0.286597059450245,0.0816326530612244,2.473852295409181,0.2318731355000785,0.4369190506271997,0.6959334275396452,0.3179860881086452,0.0280106767153399,0.0299576071596796,0.1896059035955409,53264.716230987346
켐트로스,593.5105067985168,0.1103448275862069,1.9333333333333331,3.050314465408805,0.3424369747899159,0.7327272727272728,0.5777310924369747,0.1490683229813664,0.0399159663865546,0.0462184873949579,0.5073529411764706,2600.1927277405066
코윈테크,707.184177997528,1.343612334801762,1.96,1.7165300546448088,0.5627682403433476,0.5769881556683587,0.6341201716738197,0.3167293233082707,0.0354077253218884,0.0396995708154506,0.5708154506437768,2925.1463197215194
하나기술,-397.6427688504325,0.2840909090909091,-0.9049180327868852,1.766712141882674,0.2971972501322051,1.7686676427525625,0.3611845584346906,0.0504424778761061,-0.0264410364886303,-0.0153358011634056,0.597567424643046,4934.303106835443
이녹스첨단소재,11970.170580964152,0.4490038655961939,2.1825396825396823,3.468869123252859,0.4312028406569019,0.4601425793907971,0.6848646249445184,0.3135645392981736,0.2146027518863737,0.1779849090102086,1.0814469596094096,7867.650780835442
동화기업,5180.509270704573,0.2517116391461941,0.3895781637717121,0.8797284190106692,-0.0350104466655373,1.2017903767251026,0.4541758427918008,0.2517160017160017,0.0592354170195945,0.0316223389237111,0.52651194307979,10727.269037183545
LG화학,495283.6662546354,0.4171942419715957,4.794109026963658,1.8028627670174244,0.2584281308606774,1.2031581214993536,0.4538938854372615,0.2344287347444676,0.0982960890030957,0.0773223194153549,0.8330703056401351,503868.4857068354
솔루스첨단소재,1490.948084054388,0.3104755341144039,-1.018181818181818,1.2035062781331438,0.0849149861605377,0.9371888165453848,0.5162119414788454,0.1193794372863528,0.0049426650850138,0.0001977066034005,0.3759391063661526,15059.81375920886
대덕전자,8049.622991347343,0.6384023571779341,-8.241379310344827,1.879622641509434,0.2477151965993624,0.3799677372048687,0.7246546227417641,0.2966330302727545,0.0770456960680127,0.0669500531349628,1.0636556854410202,10949.977390094937
삼화콘덴서,3777.2002472187887,0.0812371134020618,0.2170212765957447,2.806451612903226,0.3535090976606015,0.3272548053228191,0.753434831043446,0.2242562929061785,0.123282584478277,0.1062012625324916,0.973635350909766,4656.828417721519
알에프세미,-1090.865265760198,0.0855457227138643,-0.5467980295566502,1.1815718157181572,0.0768348623853211,1.527536231884058,0.3956422018348624,-0.0570652173913043,-0.1261467889908256,-0.1055045871559633,0.4220183486238532,1250.279821633544
코스모신소재,2391.678615574784,0.4973078805677924,0.5384615384615384,1.3846153846153846,0.1664275466284074,0.6962025316455697,0.5893830703012912,0.1784897025171624,0.0625538020086083,0.0516499282639885,0.8777618364418939,40221.93954131645
대주전자재료,3410.477132262052,0.286084142394822,3.339622641509434,0.6530612244897959,-0.227882037533512,1.262319939347991,0.442024128686327,0.1841972823351786,0.0589812332439678,0.0770777479892761,0.6658847184986595,15109.842595493672
코리아써키트,7535.763906056861,0.5787606695488305,-7.11864406779661,1.8678045515394912,0.2435656584632725,0.6328220858895706,0.6124365959045651,0.112765061086926,0.0799361262445989,0.0678188991170392,1.3377794476798797,3551.992856388608
대우조선해양,-153121.30531520396,-0.3618104748086825,-20.628175519630485,0.7329585382993675,-0.2682807440319301,3.79040404040404,0.2087506589351608,-0.3002050550528239,-0.1651762180887115,-0.1600082837563069,0.422339784622336,53866.34907888609
대양전기공업,1112.4833127317677,-0.2780126849894291,-0.3623188405797101,3.573208722741433,0.3176923076923077,0.1468901632112924,0.8719230769230769,0.1383601756954612,0.028076923076923,0.0338461538461538,0.5253846153846153,1093.3766142265822
세진중공업,2081.644004944376,-0.1232492997198879,3.272727272727273,0.8264291632145816,-0.0734572230014025,1.807086614173228,0.3562412342215988,0.0890575079872204,0.0064866760168302,0.024719495091164,0.4389901823281907,3455.0076980658228
HMM,1134566.0395550062,1.1508583724447632,42.041935483870965,6.959791402670826,0.6840586033866447,0.7257754650859697,0.5794496562449304,0.7572875359755258,0.4127018756887688,0.2985662420774106,0.771650415918461,101210.1284025519
팬오션,76293.06304079111,0.8485103315713599,5.056229327453142,1.4951092272579067,0.0936074466773517,0.8040202402135231,0.5543089631364814,0.1949481163752951,0.0882905930218222,0.0846535568980397,0.7113950191098508,30981.34823660759
한국철강,12239.013597033376,0.3999052731291443,-12.447058823529412,3.683513838748496,0.4908110487509629,0.2582387150373857,0.7947617475514471,0.1621743543475809,0.1136788819192252,0.1070760426983603,0.9757895895234951,2990.7905696202533
고려제강,16996.53893695921,0.210390725633319,48.37037037037037,2.053606411398041,0.2390979266863355,0.5104694463097491,0.6620458311441619,0.1786094359702022,0.0398092389766802,0.0538738228994058,0.6835872772097159,5078.069620253164
세아베스틸지주,24295.107540173056,0.4398217525041407,-1.7482688391038697,1.7960259084422,0.2056437889960295,0.8495593789341167,0.5406693136698809,0.1078579058365971,0.0676120249574588,0.0520986954055587,1.0354792966534316,7932.019796489873
동국제강,77253.0,0.3907072336829165,7.037410071942446,0.8600923313670172,-0.0688969230040574,1.276487924094307,0.4392731406198197,0.1603662831650622,0.1267741273424796,0.0881893244501981,1.143066891902559,12101.475056264559
현대제철,188625.27070457357,0.2677907608997192,-4.420131788229948,1.7110140890341243,0.1433226338537294,1.02855906770936,0.4929607502773855,0.1542063641416373,0.0660731110109253,0.040634625819671,0.6168596442445529,46885.07858810127
POSCO홀딩스,870792.0618046972,0.3207925554740383,3.0241024493904485,2.054902924763457,0.2674196143939758,0.6690405419953326,0.5991466203717876,0.1002105268673942,0.100994188360103,0.0786681330598787,0.8344917985473087,296812.90164303797
삼목에스폼,4005.339925834364,0.8017167381974248,42.285714285714285,1.4432387312186978,0.0968271334792122,0.4047131147540984,0.711889132020423,0.161029061457837,0.0067469000729394,0.0552516411378555,0.3827498176513493,2282.779746835443
아세아시멘트,12328.750309023486,0.1334603174603174,2.952191235059761,1.3512002630713582,0.0524223236636725,1.2154197477163984,0.4513817307220341,0.2647322428859511,0.0631227605163697,0.0486918961370441,0.4381288960879596,3799.1041715316455
SGC이테크건설,10308.593325092708,0.1515231554851206,-0.6148312119535141,1.232662192393736,0.140611796518506,1.8967205090553108,0.3452763224607064,0.1050539032036088,0.1167821531181342,0.1176271759337502,2.210410681088389,892.9949625316457
HDC현대산업개발,22336.3065512979,-0.083455942455452,-0.1993642143505903,1.573386140903703,0.3020528752436647,1.2758118739819082,0.4394036306042885,0.0940872201908499,0.041636208576998,0.0268488060428849,0.5122898391812866,7574.003622
자이에스앤디,5884.598269468479,0.2231892195395845,0.7464114832535885,1.487411487018096,0.9105272827484844,0.7654881608822576,0.5664155796435789,0.6825797567133348,0.0933308837038398,0.0670586073856329,0.8004776777512401,2557.9771988860757
현대엘리베이,14726.22496909765,0.0835712716889962,0.1470888661899898,1.0453621581670365,0.0164356965923545,1.6292906178489703,0.3803307223672759,0.1880004053917097,0.0431813617192207,0.0375912164423913,0.660574412532637,12540.73813993671
제일전기공업,1690.5537700865266,-0.0270984798413747,-0.1041666666666666,2.3391812865497075,0.3029100529100529,0.3023255813953488,0.7678571428571429,0.1616847826086956,0.0853174603174603,0.0853174603174603,0.9735449735449736,1197.1517215189872
이건산업,1510.892459826947,0.0774620474892954,5.882352941176471,0.996279761904762,-0.0011924636298592,1.2091675447839831,0.4526591938945862,0.2167630057803468,0.0765561650369663,0.0279036489387073,0.6601478654901025,854.5966759936708
계룡건설,21514.33868974042,0.1644545454545454,0.639412997903564,1.4631935542940853,0.217395041038202,2.0849794511467588,0.3241373383180783,0.1311187446326801,0.0999957028060676,0.0672081131021442,1.10085514159254,1614.2218729405063
인선이엔티,3200.731767614339,0.1812080536912751,-0.2985915492957746,1.1667990468625893,0.0425704439489154,0.4614928909952606,0.6843705655787553,0.234577922077922,0.0849381714980742,0.0504763835394283,0.4994932090006082,4019.32383481519
DL건설,23621.885043263286,0.1589415427187824,0.1761553918285331,2.257305059275338,0.4510062290368951,0.7429794341789331,0.5737302347867753,0.0785952345421081,0.1375179683756588,0.105174892189746,1.204060852898898,3121.87963236962
한신공영,6264.913473423981,-0.1578778341576209,-0.5759013282732448,1.5186844516851643,0.2402943535072409,2.127766302744172,0.3197320628331525,0.0961025093432995,0.0210387282418982,0.021085900278315,0.6184725694608236,945.516757356962
한샘,6988.665018541409,0.0791777509068923,-0.1437125748502994,1.1679857033443963,0.0527920410783055,1.0048254785266206,0.4987965340179717,0.2560953746862675,0.0556001283697047,0.0458921694480102,1.7901155327342748,11506.005507240508
GS건설,53285.28553770087,-0.1073111460154698,0.3005762814680012,1.1469867771616598,0.0794338665806094,2.1160752765407267,0.3209165091512609,0.1423765575548325,0.0425785546342459,0.0282408108695509,0.595151379439794,18531.100860000002
동아화성,1807.7058096415328,0.1031321619556913,4.24,1.2591125198098256,0.1203976435935198,0.9926632428466616,0.501840942562592,0.1558171745152354,0.0592783505154639,0.0482326951399116,1.0633284241531664,1549.56
