기업명,RIM기업가치,매출액증가율,순이익증가율,유동비율,순운전자본비율,부채비율,자기자본비율,매출총이익률,ROA,ROI,총자산회전율
진에어,-4725.12979,1.400485437,-0.630239521,0.701249044,-0.151833139,6.081651376,0.141210001,0.181833502,-0.08718746,-0.063997927,0.768752429
한화시스템,-8975.388133,0.047140464,-1.825331971,1.437627433,0.179516423,0.954284299,0.511709246,0.029570384,0.006082725,-0.020478508,0.554541768
아스트,-1841.295426,0.972906404,-0.451038576,0.804618117,-0.111652456,2.90952381,0.255785627,-0.033707865,-0.00182704,-0.037555826,0.325213155
켄코아에어로스페이스,479.4289246,0.387568556,-1.163265306,0.851851852,-0.067848882,2.404199475,0.293754819,0.198945982,0.061680802,0.024672321,0.585196608
쎄트렉아이,-283.9431397,0.245231608,-0.777777778,3.066455696,0.504636785,1.135313531,0.468315301,0.043763676,-0.029752705,-0.010819165,0.35316847
인텔리안테크,2078.574784,0.735507246,1.666666667,1.590942836,0.214902808,1.072747622,0.482451404,0.103966597,0.041306695,0.043196544,0.646598272
제노코,348.8627936,0.111842105,-0.534482759,1.469879518,0.184834123,0.872781065,0.533965245,0.045364892,0.050552923,0.042654028,0.800947867
효성,1894.932015,0.051689524,-0.953920476,1.136983277,0.047120916,0.818002968,0.550054107,0.022638669,0.012321303,0.004708295,0.70611129
CJ,25240.83807,0.186779376,-0.148946716,0.895187696,-0.036828053,1.720282402,0.367608892,0.06425428,0.044655517,0.01423703,0.848353247
한화,158147.5834,0.178709254,-0.017001884,1.059664559,0.005959977,9.114340863,0.098869517,0.036918097,0.011914746,0.010622928,0.294913278
LG,266794.0074,0.047674588,-0.211698957,2.013706227,0.086354387,0.129582758,0.885282634,0.084107988,0.06551325,0.071398442,0.242494187
SK,136940.5624,0.384223029,-0.304894933,1.030774013,0.009976047,1.708663841,0.369185716,0.02245161,0.041154022,0.020391155,0.691761021
서부T&D,2083.016069,0.399172699,-0.352040816,0.181322859,-0.31277533,1.529015671,0.395410757,0.110864745,0.00929467,0.012296074,0.065498378
참좋은여행,-1391.520396,1.775510204,-0.152777778,2.228840125,0.356363636,0.428571429,0.7,1.080882353,-0.143636364,-0.110909091,0.123636364
노랑풍선,-2555.773795,6.586206897,1.339805825,0.846681922,-0.072043011,1.844036697,0.351612903,1,-0.224731183,-0.259139785,0.23655914
하나투어,-9755.788628,1.853598015,-0.082386364,1.161941581,0.082784365,3.567703109,0.218928415,0.72173913,-0.222222222,-0.141853316,0.252525253
GKL,-2808.467244,2.079905993,-0.799646955,1.630664184,0.166694011,0.59372549,0.627563577,0.128958413,-0.022805578,-0.037243642,0.43002461
애경산업,2081.594561,0.06359993,0.063694268,2.355555556,0.328636552,0.344568245,0.743887277,0.119757536,0.080812267,0.034604227,1.264815582
현대백화점,18133.20148,0.40356623,-0.203084833,0.851159741,-0.04513932,0.895527076,0.527553379,0.131469257,0.02658812,0.015411001,0.415442486
잉글우드랩,959.8887515,-0.057835821,-0.513333333,2.703703704,0.441654357,0.45483871,0.686853767,0.058085809,0.073116691,0.053914328,1.118906942
